design_id,period_nm,radius_nm,axis_gap_nm,kx_norm,ky_norm,mode_index,freq_thz_real,freq_thz_imag,wavelength_nm,q_value,particle_count,top_count,bottom_count,side_count,score
bicref_P294_rho0p22,294.0,64.68,164.64,0.0,0.0,2,653.6452016406955,5.379530488101545,458.6470722151709,60.752997225913035,12,6,4,2,32.51280138096585
bicref_P294_rho0p22,294.0,64.68,164.64,0.0,0.0,3,653.6431454859301,5.380391352251667,458.6485149739142,60.74308565048745,12,6,4,2,32.514527575515245
bicref_P294_rho0p22,294.0,64.68,164.64,0.0,0.0,4,653.6353761636849,5.382540276352722,458.6539666190364,60.7181128802065,12,6,4,2,32.52069355816186
bicref_P294_rho0p24,294.0,70.56,152.88,0.0,0.0,1,658.5114264347177,1.0841837366059082,455.2577919917389,303.6899578000593,12,6,4,2,26.32807026685973
bicref_P294_rho0p24,294.0,70.56,152.88,0.0,0.0,2,658.3052360333133,1.0810792653984789,455.4003850955684,304.4666830191523,12,6,4,2,26.466225992061712
bicref_P294_rho0p24,294.0,70.56,152.88,0.0,0.0,3,653.645443388075,5.380086663705789,458.6469025869283,60.746739248420006,12,6,4,2,32.512810703241136
bicref_P294_rho0p24,294.0,70.56,152.88,0.0,0.0,4,653.6429648179299,5.380252518765757,458.6486417451249,60.74463629152086,12,6,4,2,32.51461000085572
bicref_P306_rho0p20,306.0,61.2,183.6,0.0,0.0,1,659.9814162966104,0.5868839280439091,454.24378716940504,562.2759329057928,12,6,4,2,24.243989190195094
bicref_P306_rho0p20,306.0,61.2,183.6,0.0,0.0,2,659.9625832083555,0.5877779929298788,454.256749742664,561.4046384406639,12,6,4,2,24.259645756489462
bicref_P306_rho0p20,306.0,61.2,183.6,0.0,0.0,3,659.9603133709103,0.5878369782431859,454.25831209264084,561.3463747579071,12,6,4,2,24.261388403580384
bicref_P306_rho0p20,306.0,61.2,183.6,0.0,0.0,4,659.9571369978398,0.5877093885840556,454.2604984374633,561.465538765552,12,6,4,2,24.263206015078715
bicref_P306_rho0p22,306.0,67.32000000000001,171.35999999999999,0.0,0.0,1,659.9814169712661,0.5868798604736194,454.2437867050614,562.2798305249842,12,6,4,2,24.243976684015454
bicref_P306_rho0p22,306.0,67.32000000000001,171.35999999999999,0.0,0.0,2,659.9625839519215,0.5877687207248707,454.25674923086245,561.4134953779244,12,6,4,2,24.259617838511524
bicref_P306_rho0p22,306.0,67.32000000000001,171.35999999999999,0.0,0.0,3,659.9603147269743,0.5878266381792863,454.2583111592463,561.3562501787196,12,6,4,2,24.261356909354028
bicref_P306_rho0p22,306.0,67.32000000000001,171.35999999999999,0.0,0.0,4,659.9571364730892,0.5877163233675253,454.26049879865866,561.4589132828871,12,6,4,2,24.26322687568029
bicref_P306_rho0p24,306.0,73.44,159.12,0.0,0.0,1,659.9814168070324,0.5868801875683389,454.24378681809816,562.2795170012288,12,6,4,2,24.243977765692165
bicref_P306_rho0p24,306.0,73.44,159.12,0.0,0.0,2,659.962584151186,0.5877673591491842,454.2567490937073,561.4147960738302,12,6,4,2,24.259613676626614
bicref_P306_rho0p24,306.0,73.44,159.12,0.0,0.0,3,659.9603142772486,0.587829066205649,454.2583114687977,561.3539311157207,12,6,4,2,24.261364395512704
bicref_P306_rho0p24,306.0,73.44,159.12,0.0,0.0,4,659.9571364181469,0.5877159347833205,454.26049883647653,561.4592844598133,12,6,4,2,24.263225765061232
bicref_P320_rho0p20,320.0,64.0,192.0,0.0,0.0,1,663.7539845392979,1.0145264841385218,451.6620087909252,327.1250159146511,12,6,4,2,22.60315376381964
bicref_P320_rho0p20,320.0,64.0,192.0,0.0,0.0,2,662.5249811552553,1.0449261117232296,452.49985514092936,317.0200140097269,12,6,4,2,23.495508417615323
bicref_P320_rho0p20,320.0,64.0,192.0,0.0,0.0,3,667.1962383422662,2.1518907280404806,449.3317569428636,155.02558509321182,12,6,4,2,24.90662954063991
bicref_P320_rho0p20,320.0,64.0,192.0,0.0,0.0,4,667.6286342062966,0.21922080625093532,449.0407430717904,1522.7309980834634,12,6,4,2,21.228764173345958
bicref_P320_rho0p22,320.0,70.4,179.2,0.0,0.0,1,665.1068290355855,1.2286002695259246,450.74331658074146,270.6766576293475,12,6,4,2,22.52688019890823
bicref_P320_rho0p22,320.0,70.4,179.2,0.0,0.0,2,663.4538311225339,1.1426917255050713,451.86634538346806,290.30306963555125,12,6,4,2,23.01493887129902
bicref_P320_rho0p22,320.0,70.4,179.2,0.0,0.0,3,668.096634063213,2.2906893651982383,448.72619126477247,145.82872828883004,12,6,4,2,25.61843638118469
bicref_P320_rho0p22,320.0,70.4,179.2,0.0,0.0,4,668.1535527526519,2.275775744261937,448.6879651614786,146.7968789186086,12,6,4,2,25.645167550338407
bicref_P320_rho0p24,320.0,76.8,166.4,0.0,0.0,1,664.3568526089387,1.2376206919341068,451.25214983891686,268.4008343342688,13,6,5,2,22.53701439283656
bicref_P320_rho0p24,320.0,76.8,166.4,0.0,0.0,2,666.4406003238565,1.385643098766423,449.8412279418691,240.48061182463192,13,6,5,2,23.634451785470244
